sample_index,question_id,question,ground_truth_answer,gold_doc_id,top_k,retrieved_doc_ids,retrieval_hit,generated_answer,citations,cited_doc_ids,invalid_citations,citation_hit
0,indonesian--4692045804326483608-3,Kapan Universitas Delhi berdiri ?,1922,3421,1,[3421],True,Universitas Delhi berdiri pada tahun 1922.,[],[],[],False
0,indonesian--4692045804326483608-3,Kapan Universitas Delhi berdiri ?,1922,3421,3,"[3421, 566, 814]",True,Universitas Delhi dibuat pada tahun 1922. [1],[1],[3421],[],True
0,indonesian--4692045804326483608-3,Kapan Universitas Delhi berdiri ?,1922,3421,5,"[3421, 566, 814, 555, 1247]",True,1922 [1].,[1],[3421],[],True
0,indonesian--4692045804326483608-3,Kapan Universitas Delhi berdiri ?,1922,3421,10,"[3421, 566, 814, 555, 1247, 3560, 1246, 3409, 698, 1714]",True,1922 [1].,[1],[3421],[],True
1,indonesian--6967180440960315797-2,siapakah pemenang Rising Star Indonesia pertama?,Indah Nevertari,1088,1,[2606],False,Rising Star Indonesia [1].,[1],[2606],[],False
1,indonesian--6967180440960315797-2,siapakah pemenang Rising Star Indonesia pertama?,Indah Nevertari,1088,3,"[2606, 1088, 121]",True,Indonesia [1].,[1],[2606],[],False
1,indonesian--6967180440960315797-2,siapakah pemenang Rising Star Indonesia pertama?,Indah Nevertari,1088,5,"[2606, 1088, 121, 2567, 3030]",True,Joy [1].,[1],[2606],[],False
1,indonesian--6967180440960315797-2,siapakah pemenang Rising Star Indonesia pertama?,Indah Nevertari,1088,10,"[2606, 1088, 121, 2567, 3030, 2872, 234, 1700, 2504, 1259]",True,"Joy terpilih sebagai juara Indonesian Idol yang pertama, dengan lagu kemenangan Karena Cinta ciptaan Glenn Fredly. Karena satu hal, kemenangan Joy dibatalkan dan gelar juara Indonesian Idol yang pertama jatuh pada Delon sang runner-up.",[],[],[],False
2,indonesian-4025247470210165851-0,Apa yang dimaksud dengan Sel ?,kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup,571,1,[571],True,Sel adalah kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup. Sel mampu melakukan semua aktivitas kehidupan dan sebagian besar reaksi kimia untuk mempertahankan kehidupan berlangsung di dalam sel.,[],[],[],False
2,indonesian-4025247470210165851-0,Apa yang dimaksud dengan Sel ?,kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup,571,3,"[571, 1534, 572]",True,Sel adalah kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup. Sel mampu melakukan semua aktivitas kehidupan dan sebagian besar reaksi kimia untuk mempertahankan kehidupan berlangsung di dalam sel.,[],[],[],False
2,indonesian-4025247470210165851-0,Apa yang dimaksud dengan Sel ?,kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup,571,5,"[571, 1534, 572, 406, 2066]",True,Sel adalah kumpulan materi paling sederhana yang dapat hidup dan merupakan unit penyusun semua makhluk hidup. Sel mampu melakukan semua aktivitas kehidupan dan sebagian besar reaksi kimia untuk mempertahankan kehidupan berlangsung di dalam sel.,[],[],[],False
